Mountain Range,Latitude,Longitude,Name,Currently has water?,Sheep use?,Camera Data?,,,,Needs to be added to ArcMap/GoogleEarth,
ODKM,607412,3899400,Indian Spring: Cinder Cone Lava Beds,U,U,,,,,,
ODKM,620986,3893038,Jackass Spring: Marl Mtns,U,U,,,,,,
ODKM,615502,3886362,Kelso/John Doll guzzler:  Kelso Mtns,U,U,Y,,,,,
ODKM,606888,3881153,Kerr Guzzler,Y,Y,Y,7/19/18 1400 gal total,,,,
ODKM,623067,3892632,Marl Springs: Marl Mtns,U,U,,,,,,
ODKM,602058,3888690,Vermin Guzzler,Y,Y,Y,"7/19/18 Very low, 900 gal total with 6in mud at bottom",,,,
ODKM,,,Temp Tank (Vermin 2),Y,U,Y,8/?/2018 Sheep seen on camera but did not drink,,,,
ODKM,602519,3885618,Old Dad Mtn/Main Peak Guzzler,Y,Y,Y,7/20/18 1500 gals total,,,,
ODKM,617366,3903023,White Rock Spring,N,N,,,,,,
Old Womans,667336,3822214,Bert Spring,N,N,,5/23/18 no water,,,,
Old Womans,663840,3825893,Carbonate Mine Spring,N,N,,,,,,
Old Womans,664239,3825709,Dripping Spring-GPS,Y,N,Y,5/23/18: Had water. Cleared out vegetation. Will see if there is sheep use.,,,,
Old Womans,668120,3821621,Old Woman Statue Drinker,Y,N,,,,,,
Old Womans,672993,3821232,Painted Rock,Y,Y,,,,,,
Old Womans,664266,3814894,Sheep Camp Spring Drinker,Y,Y,,,,,,
Old Womans,668048,3825580,Unnamed OW Spring,Y,U,,"5/23/18: a box dug into the ground, water was 15 ft below ground level, not particularly accessible to sheep",,,,
Old Womans,667700,3803622,Surveyor Spring Drinker,Y,Y,Y,,,,,
Old Womans,674756,3817214,Wilhelm Spring,N,N,,5/23/18 doesn't seem to exist anymore,,,,
Old Womans,673232,3820556,Craig Spring,N,N,,,,,,
Old Womans,663910,3825710,Lone Spring,U,U,,"5/23/18: Previously no water, dug up so now has water. Will see if sheep use it.",,,,
Old Womans,665780,3827787,Willow Spring,U,U,,"5/23/18: no water, lots of willows",,,,
Old Womans,666710,3826399,Sweetwater Spring,U,U,,5/23/18: small wet hole that a sheep could stick its nose into. Lots of cattle sign around.,,,,
Old Womans,669083,3825046,Paramount Spring,U,U,,,,,,
Old Womans,666687,3824132,Gemco Mine Spring,N,N,,5/23/18 a cave with inaccessible water,,,,
Old Womans,676828,3819562,Quail Guzzler,Y,N,,,,,,
Old Womans,667091,3813670,Black Metal Spring,U,U,,,,,,
Old Womans,671897,3824193,Sunflower Spring,N,N,,,,,,
Old Womans,668148,3821602,Olive Spring,U,U,,,,,,
Old Womans,667248,3822167,Sammy's Spring,N,N,,,,,,
Old Womans,668326,3823938,Kane Spring,U,U,,,,,,
Old Womans,666707,3824165,English/Brady Spring,N,N,,,,,,
Old Womans,666734,3828492,Old Ranch Spring,U,U,,,,,,
Old Womans,662354,3828045,Tie Cabin Spring,U,U,,,,,,
Old Womans,661680,3828955,Florence/Mesquite Spring,N,N,,,,,,
Old Womans,666950,3828217,Cattle Water Trough,Y,U,,"5/23/18: has water, lots of cattle around so sheep probably don't use",,,,
Old Womans,666734,3828492,Old Ranch Spring,N,N,,5/23/18: doesn't exist anymore,,,,
OMMH,,,Unk Drinker,Y,Y,Y,Photos sent to us - under P: DBS-OMMH,,,,
Orocopias,,,Doc B Guzzler,U,U,,,,,,
Orocopias,,,Hidden Spring,U,U,,,,,,
Orocopias,609955,3711526,Fay Dee Drinker/ Orocopia BGG,U,U,,3/21/18 Hauled in 6000 gals water and cemented drinker box,,,,
Orocopias,617409,3713861,Agua Aguayo Drinker,Y,Y,,"3/7/18 Hauled 1500 gals water, was completely dry. Documented sheep use on camera 2014.",,,,
Orocopias,622466,3712687,Gucci Spring,Y,Y,,Documented sheep use on camera 2014.,,,,
Orocopias,,,Canyon Spring,U,U,,,,,,
Orocopias,,,Doc Homs Drinker,U,U,,,,,,
Orocopias,627843,3712573,Track Walla,U,U,,,,,,
Orocopias,,,Orocopia Tank,U,U,,,,,,
Orocopias,,,Ferd Tank,U,U,,,,,,
Orocopias,,,No Name Spring,U,U,,,,,,
Orocopias,,,Bradshaw Cave Spring,U,U,,,,,,
Orocopias,,,Washingtonia Spring,U,U,,,,,,
Orocopias,,,Vivian Tank,U,U,,,,,,
Orocopias,,,Slab Tank,U,U,,,,,,
Providence Mtns,641152,3886174,Silver Lead Spring Drinker,U,U,,,,,,
Providence Mtns,636541,3881487,Macedonia Spring,U,U,,,,,,
Providence Mtns,635060,3876324,Unnamed Spring,U,U,,,,,,
Providence Mtns,633905,3874440,Tough Nut Spring,U,U,,,,,,
Providence Mtns,630436,3870855,Upper Cornfield Spring,Y,U,,"5/22/18 vegetation around the spring was pretty thick, so Rick guesses sheep would prefer the mineshaft at lower cornfield spring",,,,
Providence Mtns,629639,3870855,Lower Cornfield Spring,Y,U,,"5/22/18: water at bottom of accessible 15 ft mine shaft. BHS_1451 came by here 3 times in summer 2017, suggesting that sheep may use it.",,,,
Providence Mtns,645864,3889890,Holliman Spring,U,U,,,,,,
Providence Mtns,646013,3873668,Cave Spring,U,U,,,,,,
Providence Mtns,627937,3857125,Arrowweed Spring,U,U,,,,,,
Providence Mtns,631003,3862029,Winston Basin,U,U,,,,,,
Providence Mtns,632346,3863822,Goldston Spring,U,U,,,,,,
Providence Mtns,630309,3870889,Cornfield Creek,U,U,,,,,,
Providence Mtns,639523,3887727,Wild Cat Spring,U,U,,,,,,
Providence Mtns,633087,3874864,Providence Mill Site Seep,U,U,,,,,,
Providence Mtns,,,Gold Fish Tank,U,U,,,,,,
Providence Mtns,633790,3864929,Forshay Springs,Y,N,,"6/14/2018 Water piped out for grazing, not available for sheep",,,,
Providence Mtns,630863,3865566,Vulcan Mine Lake,Y,N,,6/14/2018 Water heavily polluted and fenced in around large pit. No sign of sheep use.,,,,
Providence Mtns,637229,3877879,Summit Spring,Y,N,,"6/14/2018 No sign of sheep (trail cam), many deer and burros. Also heavily grazed area (dead cow). Possible advocate for sheep?",,,,
Providence Mtns,635251,3867754,Crystal Spring,U,U,,,,,,
Riverside Mtns,725933,3770009,Celo/Cielo Tanks,Y,N,,4/24/2018 Water. Assume no sheep use because of lowland terrain. Deer use.,,,,
Riverside Mtns,720398,3766514,Anthes Tanks,U,U,,probably little to no sheep use based off terrain,,,,
Riverside Mtns,722261,3766827,Owls Roost BGG,U,U,,probably little to no sheep use based off terrain,,,,
S. Bristols,611189,3835254,Miller Cabin Spring,Y,Y,,,,,,
S. Bristols,622378,3828078,Nancy Andrew Guzzler,Y,Y,,"6/15/2018  1ft deep in one, 0.5ft in other",,,,
S. Bristols,622852,3827625,Talc Omya Mine Guzzler,Y,Y,,6/15/2018  1ft deep - good site for fecal nitrogen sampling,,,,
S. Sodas,574337,3889503,Paradise Spring Tub,Y,U,,privately owned,,,,
S. Sodas ,581608,3889296,Zzyzx/Soda Springs,Y,Y,,,,,,
Sacramento Mtns,,,Mort Spring,U,U,,,,,,
Sacramento Mtns,,,F. More Spring,U,U,,,,,,
Sacramento Mtns,709449,3851108,Smith Spring,U,U,,Coordinates may be wrong.,,,,
Sacramento Mtns,,,Broken Mule Shoe Tank,U,U,,,,,,
Sacramento Mtns,702399,3851172,Red Cave Rocks Guzzler,N,N,,5/11/17 tanks dry,,,,
Sacramento Mtns,703121,3858475,Tan-Tan Spring,N,N,,,,,,
Sacramento Mtns,703048,3858465,Tan-Tan Well (Trebles Ranch),Y,U,,,,,,
Sacramento Mtns,702779,3858432,Arrowhead Spring A,Y,U,,,,,,
Sacramento Mtns,702742,3858441,Arrowhead Spring B,N,N,,,,,,
Sacramento Mtns,700417,3855594,Crestview Seep,U,U,,,,,,
Sacramento Mtns,700350,3855450,Rustler Spring,N,N,,,,,,
Sacramento Mtns,700293,3855063,Flattop Tenaja,N,N,,,,,,
Sacramento Mtns,700502,3854950,Flattop Mountain/More Spring,N,N,,,,,,
Sacramento Mtns,699290,3854382,Brown's Camp Spring,N,N,,,,,,
Sacramento Mtns,709451,3854983,Teddybear Cholla Spring ,U,U,,Coordinates approximate.,,,,
Sacramento Mtns,710459,3853202,Carpenter Seep,U,U,,,,,,
Sheephole Mtns,623641,3785653,Bearclaws BGG,Y,Y,Y,"4/25/18 Water, clear sheep use.",,,,
Sheephole Mtns,620867,3788764,Sudshole BGG,Y,Y,Y,"4/25/18 Water, clear sheep use",,,,
Sheephole Mtns,625271,3786043,Temporary Guzzler,Y,N,Y,"4/25/18 Water, but no sheep sign. ",,,,
Sheephole Mtns,618821,3787052,South Drinker,N,N,,"4/24/18 No water, no sheep use. Terry Anderson says never been sheep use since put in in 2008. There is a drinker though.",,,,
Turtle,700934,3808205,Coffin Spring,Y,Y,,"3/27/18 1 ft circumference, 1 inch deep pool, also seep, sheep sign in caves above",,,,
Turtle,704675,3799244,Mopah Spring,Y,U,,3/1/18 Our friend Lou visited and said there is water,,,,
Turtle,697857,3812143,Mohawk Spring,Y,N,,"3/27/18 water in the bottom of mineshaft, not accessible to sheep",,,,
Turtle,,,Johnson's Well,U,N,,,,,,
Turtle,699913,3811592,Carson's Wells,N,N,,some vegetation but no water,,,,
Turtle,,,Martin's Well,N,N,,dry circa 1956,,,,
Turtle,703742,3787446,Horn Spring,N,N,,,,,,
Turtle,,,Indian Trails Spring,,,,,,,,
Turtle,,,Mobi Springs?,,,,,,,,
Turtle,704072,3808232,Perlite Pool,Y,U,,3/27/18 2-3 inches of water. ,,,,
Turtle,703045,3807831,Pickie Poke Spring,N,N,,"3/27/18 no water, no green vegetation, don't bother going",,,,
Turtle,701555,3808437,Wes' Weep Spring,U,U,,,,,,
Turtle,702574,3780121,Turtle/North Mountain Spring,U,U,,,,,,
Turtle,701239,3794854,Granite Spring,U,U,,,,,,
Turtle ,698580,3807618,Agate Spring,U,U,,Location approximate.,,,x,Needs to be added to ArcMap and Google Earth!
Turtle,696779,3804030,Tamarisk Seep,U,U,,,,,,
Turtle,700297,3808363,Bluebird Spring,N,N,,3/27/18 no water. Cool cave a little up the wash.,,,,
Turtle,699048,3814061,July Spring,N,N,,3/27/18 no water.,,,,
Whipple,740412,3797660,Whipple Mtns 3 BGG,U,U,,,,,,
Whipple,739242,3803261,Jay Bee's Drinker,U,U,,,,,,
