"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","xend","yend"
"79210",-116.1026653,36.0591378,2019-06-28 16:00:00,-0.00389750000000788,0.0022814000000011,0.00451611472507801,3600,0.000673425649460063,2.61201517313358,-0.0333059824826787,-116.1025375,36.0590686
"79278",-116.1065628,36.0614192,2019-06-28 17:00:00,-0.00264549999999986,0.00118639999999459,0.00289934737656363,3600,0.000880499233090297,2.72002042318808,0.108005250054501,-116.1026653,36.0591378
"79367",-116.1092083,36.0626056,2019-06-28 18:00:00,-0.00173199999998985,-0.000172799999994311,0.001740598701586,3600,0.00102428058914001,-3.04215266660541,0.521012217386091,-116.1065628,36.0614192
"79398",-116.1109403,36.0624328,2019-06-28 19:00:00,0.0032147000000009,-0.00258030000000531,0.00412216498699812,3600,0.00107481442545995,-0.676358689830941,2.36579397677447,-116.1092083,36.0626056
"79512",-116.1077256,36.0598525,2019-06-28 20:00:00,0.000218099999997889,0.000184199999999635,0.000285477232014998,3600,0.000834115753999696,0.70133129154267,1.37768998137361,-116.1109403,36.0624328
"79539",-116.1075075,36.0600367,2019-06-28 21:00:00,2.44000000009237e-05,-2.38999999950806e-05,3.41550874659974e-05,3600,0.000836766388729745,-0.775046566161512,-1.47637785770418,-116.1077256,36.0598525
"79623",-116.1074831,36.0600128,2019-06-28 22:00:00,5.59999999438787e-06,2.35999999986802e-05,2.4255308694693e-05,3600,0.000834858274499963,1.33781708793036,2.11286365409187,-116.1075075,36.0600367
"79676",-116.1074775,36.0600364,2019-06-28 23:00:00,-2.46999999973241e-05,1.91999999969994e-05,3.12846607741332e-05,3660,0.000835867257140063,2.48082983238606,1.1430127444557,-116.1074831,36.0600128
"79770",-116.1075022,36.0600556,2019-06-29 00:01:00,-1.09000000065862e-05,-3.97999999961485e-05,4.12656031076367e-05,3540,0.000837550975849834,-1.83811107498048,1.96424439981305,-116.1074775,36.0600364
"79794",-116.1075131,36.0600158,2019-06-29 01:00:00,1.02999999995745e-05,1.13999999982184e-05,1.53639187693314e-05,3600,0.00083589197490022,0.836046055620368,2.67415713060084,-116.1075022,36.0600556
"79873",-116.1075028,36.0600272,2019-06-29 02:00:00,-6.43999999994094e-05,9.99999999606871e-06,6.51717730297811e-05,3600,0.000836155061890144,2.98754341949434,2.15149736387397,-116.1075131,36.0600158
"79916",-116.1075672,36.0600372,2019-06-29 03:00:00,0.000570500000009133,-0.000174099999995292,0.000596473855260045,3600,0.000838556188849931,-0.296193964560752,2.99944792312449,-116.1075028,36.0600272
"80022",-116.1069967,36.0598631,2019-06-29 04:00:00,0.000370599999996557,0.00165690000000041,0.00169784038413474,3600,0.000813347797449905,1.35074748107501,1.64694144563576,-116.1075672,36.0600372
"80067",-116.1066261,36.06152,2019-06-29 05:00:00,0.00202360000000112,-0.000599200000003464,0.00211044962034366,3600,0.000887556451300041,-0.287880453616088,-1.6386279346911,-116.1069967,36.0598631
"80105",-116.1046025,36.0609208,2019-06-29 06:00:00,9.67000000002827e-05,-0.000329099999994753,0.000343012681976339,3600,0.000804277436499857,-1.28500812089279,-0.997127667276703,-116.1066261,36.06152
"80175",-116.1045058,36.0605917,2019-06-29 07:00:00,0.000350799999992546,-0.000169500000005485,0.00038960350357335,3600,0.000785144168840118,-0.450102346335297,0.834905774557494,-116.1046025,36.0609208
"80254",-116.104155,36.0604222,2019-06-29 08:00:00,0.000993900000011649,-0.00145080000000064,0.00175859541965314,3600,0.000768428745530015,-0.970160724467474,-0.520058378132177,-116.1045058,36.0605917
"80307",-116.1031611,36.0589714,2019-06-29 09:00:00,6.85999999916476e-05,8.33000000000084e-05,0.000107911306167868,3600,0.000675543574339741,0.881871938639833,1.85203266310731,-116.104155,36.0604222
"80370",-116.1030925,36.0590547,2019-06-29 10:00:00,2.44000000009237e-05,-8.18999999978587e-05,8.54574162942827e-05,3660,0.000678095607529916,-1.28124493236978,-2.16311687100961,-116.1031611,36.0589714
"80443",-116.1030681,36.0589728,2019-06-29 11:01:00,0.00066280000000063,0.000547199999999748,0.000859495014529205,3540,0.000673683528499999,0.690150059078185,1.97139499144796,-116.1030925,36.0590547
"80467",-116.1024053,36.05952,2019-06-29 12:00:00,-0.000317800000004809,-5.19000000025471e-05,0.000322010015377349,3600,0.000686819679459983,-2.97971143786572,2.61332381023568,-116.1030681,36.0589728
"80550",-116.1027231,36.0594681,2019-06-29 13:00:00,4.42000000049347e-05,2.47000000044295e-05,5.06332894512597e-05,3600,0.000690527390929951,0.50959226483775,-2.79388160447612,-116.1024053,36.05952
"80632",-116.1026789,36.0594928,2019-06-29 14:00:00,0.00039580000000683,0.00022390000000172,0.00045474042046664,3600,0.000690849966820069,0.514809225825452,0.00521696098770241,-116.1027231,36.0594681
"80692",-116.1022831,36.0597167,2019-06-29 15:00:00,0.000623099999998544,-0.00030060000000276,0.000691819318897532,3600,0.000694100589130029,-0.449490292710812,-0.964299518536264,-116.1026789,36.0594928
"80724",-116.10166,36.0594161,2019-06-29 16:00:00,0.00140419999999608,-0.000165299999999036,0.00141389594029712,3600,0.000667939126479933,-0.117178986695145,0.332311306015666,-116.1022831,36.0597167
"80847",-116.1002558,36.0592508,2019-06-29 17:00:00,0.00210249999999235,-0.00152659999999827,0.00259827131184611,3600,0.000636910589610068,-0.628020967743331,-0.510841981048186,-116.10166,36.0594161
"80866",-116.0981533,36.0577242,2019-06-29 18:00:00,0.000105800000000045,-0.00325280000000561,0.00325452016125826,3600,0.000538551448340246,-1.53828196562072,-0.910260997877386,-116.1002558,36.0592508
"80962",-116.0980475,36.0544714,2019-06-29 19:00:00,-3.99999999984857e-05,-0.000436399999998116,0.000438229346345306,3600,0.000401167895139995,-1.66219995404222,-0.123917988421504,-116.0981533,36.0577242
"81039",-116.0980875,36.054035,2019-06-29 20:00:00,-0.000409999999988031,-0.000305300000000841,0.000511183029834421,3600,0.00038492296210005,-2.50153454537884,-0.839334591336619,-116.0980475,36.0544714
"81072",-116.0984975,36.0537297,2019-06-29 21:00:00,0.000287199999988275,0.000179500000001553,0.000338679922631712,3600,0.00037802746452988,0.558599315365801,3.06013386074464,-116.0980875,36.054035
"81134",-116.0982103,36.0539092,2019-06-29 22:00:00,-0.000838000000001671,-0.00019890000000089,0.000861281144576586,3600,0.000381512848340074,-2.90855405778594,2.81603193402785,-116.0984975,36.0537297
"81225",-116.0990483,36.0537103,2019-06-29 23:00:00,0.000219700000002376,-4.16999999970358e-05,0.000223622404961571,3600,0.000383935537210059,-0.187573037647161,2.72098102013878,-116.0982103,36.0539092
